team_id,name,short_name,state,stadium_name,stadium_capacity,latitude,longitude
322,UCV,,,,,,
323,Libertad Asuncion,,,,,,
324,Platense,,,,,,
325,Santa Fe,,,,,,
326,Penarol,,,,,,
327,Uniao Trabalhadores,,,,,,
328,Salgueiro,,,,,,
329,Tuntum,,,,,,
330,Bahia de Feira,,,,,,
331,Glória,,,,,,
332,Brasil DE Pelotas,,,,,,
333,Brasiliense,,,,,,
334,Oeste,,,,,,
335,São Raimundo AM,,,,,,
336,Campinense,,,,,,
337,Moto Club,,,,,,
338,Parana,,,,,,
339,Icasa,,,,,,
340,CFRJ / Maricá,,,,,,
341,Real Noroeste,,,,,,
342,Rio Branco,,,,,,
343,Grêmio Anápolis,,,,,,
344,Costa Rica ,,,,,,
345,Nova Venécia,,,,,,
346,Globo,,,,,,
347,Marcílio Dias,,,,,,
348,Falcon,,,,,,
349,Nova Mutum EC,,,,,,
350,Caucaia,,,,,,
351,Marília,,,,,,
352,São Francisco,,,,,,
353,Vitória ES,,,,,,
354,Resende,,,,,,
355,Democrata GV,,,,,,
356,Cordino,,,,,,
357,Camboriú,,,,,,
358,Princesa Solimões,,,,,,
359,Caldense,,,,,,
360,Real Desportivo Ariquemes,,,,,,
361,Iguatu,,,,,,
362,Real FC,,,,,,
363,River AC,,,,,,
364,Treze,,,,,,
365,Audax Rio,,,,,,
366,Murici Fc,,,,,,
367,Petrolina,,,,,,
368,Itabuna,,,,,,
369,Villa Nova,,,,,,
370,Água Santa,,,,,,
371,Portuguesa Santista,,,,,,
372,SOL DE America,,,,,,
373,General Caballero,,,,,,
374,Estudiantes de Merida FC,,,,,,
375,Royal Pari,,,,,,
376,Oriente Petrolero,,,,,,
377,Nublense,,,,,,
378,Union La Calera,,,,,,
379,CA River Plate,,,,,,
380,Ayacucho FC,,,,,,
381,Sport Boys,,,,,,
382,Guairena FC,,,,,,
383,Antofagasta,,,,,,
384,CD Hermanos Colmenarez,,,,,,
385,Internacional de Bogota,,,,,,
386,Delfin SC,,,,,,
387,9 de Octubre,,,,,,
